title,author,rating,details,num_reviews,num_ratings,publish_date,genres,description,image_url
The Diary of a Young Girl,Anne Frank," 4.19 avg rating — 3,823,507 ratings",/book/show/48855.The_Diary_of_a_Young_Girl,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560816565i/48855._SY75_.jpg
Oliver Twist,Charles Dickens," 3.88 avg rating — 397,817 ratings",/book/show/18254.Oliver_Twist,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868529i/18254._SY75_.jpg
Treasure Island,Robert Louis Stevenson," 3.85 avg rating — 501,508 ratings",/book/show/295.Treasure_Island,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1485248909i/295._SX50_.jpg
Jonathan Livingston Seagull,Richard Bach," 3.85 avg rating — 255,900 ratings",/book/show/71728.Jonathan_Livingston_Seagull,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432222358i/71728._SX50_.jpg
Ulysses,James Joyce," 3.75 avg rating — 130,010 ratings",/book/show/338798.Ulysses,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428891345i/338798._SY75_.jpg
"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson," 4.25 avg rating — 934,975 ratings",/book/show/5060378-the-girl-who-played-with-fire,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351778881i/5060378._SX50_.jpg
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin," 4.54 avg rating — 797,743 ratings",/book/show/62291.A_Storm_of_Swords,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571318786i/62291._SY75_.jpg
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James," 3.66 avg rating — 2,669,431 ratings",/book/show/10818853-fifty-shades-of-grey,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385207843i/10818853._SX50_.jpg
The Boy in the Striped Pajamas,John Boyne," 4.16 avg rating — 857,696 ratings",/book/show/39999.The_Boy_in_the_Striped_Pajamas,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366228171i/39999._SY75_.jpg
"Jurassic Park (Jurassic Park, #1)",Michael Crichton," 4.10 avg rating — 976,850 ratings",/book/show/40604658-jurassic-park,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529604411i/40604658._SY75_.jpg
Beloved,Toni Morrison," 3.96 avg rating — 447,007 ratings",/book/show/6149.Beloved,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1722944318i/6149._SY75_.jpg
Misery,Stephen         King," 4.23 avg rating — 750,633 ratings",/book/show/10614.Misery,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554220401i/10614._SY75_.jpg
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel," 4.09 avg rating — 270,615 ratings",/book/show/40611463-the-clan-of-the-cave-bear,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529681430i/40611463._SY75_.jpg
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid," 4.42 avg rating — 3,268,560 ratings",/book/show/32620332-the-seven-husbands-of-evelyn-hugo,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664458703i/32620332._SY75_.jpg
A Farewell to Arms,Ernest Hemingway," 3.82 avg rating — 328,093 ratings",/book/show/10799.A_Farewell_to_Arms,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313714836i/10799._SY75_.jpg
The Canterbury Tales,Geoffrey Chaucer," 3.52 avg rating — 224,984 ratings",/book/show/2696.The_Canterbury_Tales,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1261208589i/2696._SY75_.jpg
David Copperfield,Charles Dickens," 4.03 avg rating — 242,655 ratings",/book/show/58696.David_Copperfield,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461452762i/58696._SY75_.jpg
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan," 4.30 avg rating — 869,904 ratings",/book/show/7736182-the-lost-hero,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464201003i/7736182._SY75_.jpg
The World According to Garp,John Irving," 4.10 avg rating — 230,884 ratings",/book/show/7069.The_World_According_to_Garp,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447234581i/7069._SY75_.jpg
A Little Princess,Frances Hodgson Burnett," 4.22 avg rating — 310,051 ratings",/book/show/3008.A_Little_Princess,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868556i/3008._SY75_.jpg
Thirteen Reasons Why,Jay Asher," 3.84 avg rating — 984,746 ratings",/book/show/29844228-thirteen-reasons-why,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555345043i/29844228._SY75_.jpg
His Dark Materials (His Dark Materials #1-3),Philip Pullman," 4.29 avg rating — 163,194 ratings",/book/show/18116.His_Dark_Materials,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442329494i/18116._SY75_.jpg
The Green Mile,Stephen         King," 4.48 avg rating — 328,753 ratings",/book/show/11566.The_Green_Mile,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373903563i/11566._SY75_.jpg
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare," 4.42 avg rating — 560,516 ratings",/book/show/10025305-clockwork-prince,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460477747i/10025305._SY75_.jpg
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou," 4.47 avg rating — 1,299 ratings",/book/show/60288648-the-chain-between-worlds,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1643771474i/60288648._SX50_.jpg
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire," 3.54 avg rating — 602,100 ratings",/book/show/37442.Wicked,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437733293i/37442._SY75_.jpg
"Shōgun (Asian Saga, #1)",James Clavell," 4.41 avg rating — 189,798 ratings",/book/show/52382796-sh-gun,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1704385704i/52382796._SY75_.jpg
Schindler’s List,Thomas Keneally," 4.34 avg rating — 161,488 ratings",/book/show/375013.Schindler_s_List,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1722260788i/375013._SY75_.jpg
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer," 4.13 avg rating — 945,748 ratings",/book/show/36381037-cinder,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507557775i/36381037._SY75_.jpg
The Silmarillion,J.R.R. Tolkien," 4.01 avg rating — 301,040 ratings",/book/show/7332.The_Silmarillion,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1610045590i/7332._SX50_.jpg
The Iliad / The Odyssey,Homer," 4.06 avg rating — 77,481 ratings",/book/show/1375.The_Iliad_The_Odyssey,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388181863i/1375._SX50_.jpg
The Velveteen Rabbit,Margery Williams Bianco," 4.30 avg rating — 261,334 ratings",/book/show/144974.The_Velveteen_Rabbit,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347748913i/144974._SX50_.jpg
The Trial,Franz Kafka," 3.95 avg rating — 339,968 ratings",/book/show/17690.The_Trial,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399438i/17690._SY75_.jpg
Extremely Loud & Incredibly Close,Jonathan Safran Foer," 3.97 avg rating — 424,631 ratings",/book/show/4588.Extremely_Loud_Incredibly_Close,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327879967i/4588._SY75_.jpg
Gone Girl,Gillian Flynn," 4.14 avg rating — 3,168,636 ratings",/book/show/19288043-gone-girl,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554086139i/19288043._SY75_.jpg
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory," 4.08 avg rating — 501,588 ratings",/book/show/37470.The_Other_Boleyn_Girl,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355932638i/37470._SY75_.jpg
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones," 4.29 avg rating — 376,458 ratings",/book/show/6294.Howl_s_Moving_Castle,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630502935i/6294._SX50_.jpg
"Fallen (Fallen, #1)",Lauren Kate," 3.72 avg rating — 593,273 ratings",/book/show/6487308-fallen,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440619649i/6487308._SY75_.jpg
The Sun Also Rises,Ernest Hemingway," 3.79 avg rating — 454,389 ratings",/book/show/3876.The_Sun_Also_Rises,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1509802323i/3876._SY75_.jpg
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead," 4.37 avg rating — 290,734 ratings",/book/show/6527740-last-sacrifice,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1319850978i/6527740._SX50_.jpg
Man’s Search for Meaning,Viktor E. Frankl," 4.37 avg rating — 744,330 ratings",/book/show/4069.Man_s_Search_for_Meaning,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535419394i/4069._SY75_.jpg
A Confederacy of Dunces,John Kennedy Toole," 3.89 avg rating — 280,114 ratings",/book/show/310612.A_Confederacy_of_Dunces,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562554946i/310612._SY75_.jpg
The Secret Magdalene,Ki Longfellow," 4.15 avg rating — 4,623 ratings",/book/show/514811.The_Secret_Magdalene,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1175446011i/514811._SY75_.jpg
The Crucible: A Play in Four Acts,Arthur Miller," 3.60 avg rating — 418,280 ratings",/book/show/17250.The_Crucible,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547467608i/17250._SX50_.jpg
Cat’s Cradle,Kurt Vonnegut Jr.," 4.15 avg rating — 410,299 ratings",/book/show/135479.Cat_s_Cradle,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327867150i/135479._SY75_.jpg
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare," 4.08 avg rating — 610,843 ratings",/book/show/6752378-city-of-fallen-angels,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369452302i/6752378._SY75_.jpg
The Phantom of the Opera,Gaston Leroux," 3.96 avg rating — 248,912 ratings",/book/show/480204.The_Phantom_of_the_Opera,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327867727i/480204._SY75_.jpg
The Screwtape Letters,C.S. Lewis," 4.27 avg rating — 460,823 ratings",/book/show/8130077-the-screwtape-letters,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476379778i/8130077._SY75_.jpg
A Light in the Attic,Shel Silverstein," 4.36 avg rating — 454,167 ratings",/book/show/30118.A_Light_in_the_Attic,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427169918i/30118._SX50_.jpg
The Wind in the Willows,Kenneth Grahame," 4.02 avg rating — 223,752 ratings",/book/show/5659.The_Wind_in_the_Willows,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630642716i/5659._SX50_.jpg
"Spirit Bound (Vampire Academy, #5)",Richelle Mead," 4.32 avg rating — 298,019 ratings",/book/show/6479259-spirit-bound,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1291168967i/6479259._SY75_.jpg
The God of Small Things,Arundhati Roy," 3.96 avg rating — 303,766 ratings",/book/show/9777.The_God_of_Small_Things,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590282886i/9777._SY75_.jpg
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom," 4.47 avg rating — 331,350 ratings",/book/show/561909.The_Hiding_Place,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320418824i/561909._SY75_.jpg
Blindness,José Saramago," 4.17 avg rating — 298,864 ratings",/book/show/40495148-blindness,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528481068i/40495148._SY75_.jpg
"Mockingjay (The Hunger Games, #3)",Suzanne Collins," 4.09 avg rating — 3,316,372 ratings",/book/show/7260188-mockingjay,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722918i/7260188._SY75_.jpg
Girl with a Pearl Earring,Tracy Chevalier," 3.93 avg rating — 745,486 ratings",/book/show/2865.Girl_with_a_Pearl_Earring,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327197580i/2865._SY75_.jpg
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin," 4.42 avg rating — 953,891 ratings",/book/show/10572.A_Clash_of_Kings,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567840212i/10572._SY75_.jpg
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine," 4.01 avg rating — 415,897 ratings",/book/show/24337.Ella_Enchanted,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410727190i/24337._SY75_.jpg
"The Lord of the Rings (Middle Earth, #2-4)",J.R.R. Tolkien," 4.53 avg rating — 687,497 ratings",/book/show/33.The_Lord_of_the_Rings,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566425108i/33._SX50_.jpg
"Uglies (Uglies, #1)",Scott Westerfeld," 3.85 avg rating — 673,004 ratings",/book/show/24770.Uglies,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654202671i/24770._SX50_.jpg
The Wind-Up Bird Chronicle,Haruki Murakami," 4.15 avg rating — 290,378 ratings",/book/show/11275.The_Wind_Up_Bird_Chronicle,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327872639i/11275._SY75_.jpg
Marley and Me: Life and Love With the World’s Worst Dog,John Grogan," 4.14 avg rating — 472,057 ratings",/book/show/12691.Marley_and_Me,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308858322i/12691._SY75_.jpg
The House of the Spirits,Isabel Allende," 4.28 avg rating — 278,623 ratings",/book/show/9328.The_House_of_the_Spirits,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1621672028i/9328._SY75_.jpg
She’s Come Undone,Wally Lamb," 3.91 avg rating — 349,876 ratings",/book/show/5203.She_s_Come_Undone,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1543505339i/5203._SX50_.jpg
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer," 4.19 avg rating — 765,494 ratings",/book/show/39832183-the-guernsey-literary-and-potato-peel-pie-society,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529026760i/39832183._SY75_.jpg
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater," 3.76 avg rating — 484,954 ratings",/book/show/6068551-shiver,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409283154i/6068551._SX50_.jpg
Norwegian Wood,Haruki Murakami," 4.01 avg rating — 629,087 ratings",/book/show/11297.Norwegian_Wood,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1713542603i/11297._SY75_.jpg
"Marked (House of Night, #1)",P.C. Cast," 3.81 avg rating — 502,737 ratings",/book/show/30183.Marked,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317067002i/30183._SX50_.jpg
Speak,Laurie Halse Anderson," 4.05 avg rating — 601,582 ratings",/book/show/39280444-speak,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529044298i/39280444._SY75_.jpg
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo," 4.59 avg rating — 669,705 ratings",/book/show/22299763-crooked-kingdom,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456172607i/22299763._SY75_.jpg
The Shack: Where Tragedy Confronts Eternity,William Paul Young," 3.83 avg rating — 658,436 ratings",/book/show/40874325-the-shack,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532013572i/40874325._SY75_.jpg
Fear and Loathing in Las Vegas,Hunter S. Thompson," 4.07 avg rating — 355,300 ratings",/book/show/7745.Fear_and_Loathing_in_Las_Vegas,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1703312483i/7745._SY75_.jpg
The Sound and the Fury,William Faulkner," 3.86 avg rating — 184,950 ratings",/book/show/10975.The_Sound_and_the_Fury,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433089995i/10975._SY75_.jpg
The Complete Calvin and Hobbes,Bill Watterson," 4.81 avg rating — 40,718 ratings",/book/show/24812.The_Complete_Calvin_and_Hobbes,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1607384975i/24812._SX50_.jpg
For Whom the Bell Tolls,Ernest Hemingway," 3.98 avg rating — 298,482 ratings",/book/show/46170.For_Whom_the_Bell_Tolls,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1492591524i/46170._SY75_.jpg
Island of the Blue Dolphins,Scott O'Dell," 3.87 avg rating — 336,736 ratings",/book/show/41044096-island-of-the-blue-dolphins,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1533405446i/41044096._SX50_.jpg
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson," 4.66 avg rating — 524,748 ratings",/book/show/7235533-the-way-of-kings,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659905828i/7235533._SY75_.jpg
Kafka on the Shore,Haruki Murakami," 4.13 avg rating — 485,897 ratings",/book/show/4929.Kafka_on_the_Shore,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429638085i/4929._SY75_.jpg
Roots: The Saga of an American Family,Alex Haley," 4.44 avg rating — 160,764 ratings",/book/show/546018.Roots,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329398936i/546018._SY75_.jpg
Paper Towns,John Green," 3.71 avg rating — 1,392,930 ratings",/book/show/6442769-paper-towns,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349013610i/6442769._SX50_.jpg
The Complete Sherlock Holmes,Arthur Conan Doyle," 4.50 avg rating — 208,749 ratings",/book/show/188572.The_Complete_Sherlock_Holmes,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348815538i/188572._SY75_.jpg
Stranger in a Strange Land,Robert A. Heinlein," 3.92 avg rating — 315,739 ratings",/book/show/350.Stranger_in_a_Strange_Land,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1156897088i/350._SY75_.jpg
Othello,William Shakespeare," 3.89 avg rating — 399,797 ratings",/book/show/12996.Othello,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459795105i/12996._SY75_.jpg
Into the Wild,Jon Krakauer," 4.01 avg rating — 1,110,141 ratings",/book/show/1845.Into_the_Wild,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1634587789i/1845._SY75_.jpg
The Idiot,Fyodor Dostoevsky," 4.21 avg rating — 188,902 ratings",/book/show/12505.The_Idiot,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657539107i/12505._SY75_.jpg
"Inkheart (Inkworld, #1)",Cornelia Funke," 3.92 avg rating — 428,747 ratings",/book/show/28194.Inkheart,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1538266636i/28194._SX50_.jpg
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson," 4.24 avg rating — 744,286 ratings",/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327708260i/6892870._SX50_.jpg
"Neverwhere (London Below, #1)",Neil Gaiman," 4.17 avg rating — 539,933 ratings",/book/show/14497.Neverwhere,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348747943i/14497._SX50_.jpg
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice," 4.10 avg rating — 204,024 ratings",/book/show/43814.The_Vampire_Lestat,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347515742i/43814._SY75_.jpg
King Lear,William Shakespeare," 3.91 avg rating — 223,059 ratings",/book/show/12938.King_Lear,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331563731i/12938._SY75_.jpg
The Things They Carried,Tim O'Brien," 4.14 avg rating — 321,225 ratings",/book/show/133518.The_Things_They_Carried,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424663847i/133518._SY75_.jpg
"Delirium (Delirium, #1)",Lauren Oliver," 3.95 avg rating — 470,038 ratings",/book/show/11614718-delirium,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327890411i/11614718._SX50_.jpg
Invisible Man,Ralph Ellison," 3.91 avg rating — 191,187 ratings",/book/show/16981.Invisible_Man,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556482805i/16981._SY75_.jpg
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire," 4.01 avg rating — 692,498 ratings",/book/show/11505797-beautiful-disaster,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358259032i/11505797._SY75_.jpg
White Oleander,Janet Fitch," 3.99 avg rating — 356,818 ratings",/book/show/32234.White_Oleander,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501159524i/32234._SY75_.jpg
Uncle Tom’s Cabin,Harriet Beecher Stowe," 3.91 avg rating — 230,299 ratings",/book/show/46787.Uncle_Tom_s_Cabin,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414349231i/46787._SY75_.jpg
Blood River: A Journey to Africa’s Broken Heart,Tim Butcher," 3.98 avg rating — 11,521 ratings",/book/show/2184798.Blood_River,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531681288i/2184798._SY75_.jpg
Never Let Me Go,Kazuo Ishiguro," 3.85 avg rating — 724,678 ratings",/book/show/6334.Never_Let_Me_Go,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353048590i/6334._SY75_.jpg
Different Seasons,Stephen         King," 4.35 avg rating — 208,590 ratings",/book/show/39662.Different_Seasons,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329662611i/39662._SY75_.jpg
"Foundation (Foundation, #1)",Isaac Asimov," 4.17 avg rating — 551,044 ratings",/book/show/29579.Foundation,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417900846i/29579._SX50_.jpg
Midnight Sun [2008 Draft],Stephenie Meyer," 4.01 avg rating — 148,850 ratings",/book/show/4502877-midnight-sun-2008-draft,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/nophoto/book/111x148._SX50_.png
"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot," 4.35 avg rating — 149,086 ratings",/book/show/32085.All_Creatures_Great_and_Small,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393644607i/32085._SX50_.jpg
"Wonder (Wonder, #1)",R.J. Palacio," 4.37 avg rating — 1,111,230 ratings",/book/show/11387515-wonder,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545695751i/11387515._SY75_.jpg
"The Once and Future King (The Once and Future King, #1-4)",T.H. White," 4.07 avg rating — 113,785 ratings",/book/show/43545.The_Once_and_Future_King,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338741283i/43545._SY75_.jpg
I Know This Much Is True,Wally Lamb," 4.20 avg rating — 314,858 ratings",/book/show/227711.I_Know_This_Much_Is_True,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373532198i/227711._SY75_.jpg
"Shatter Me (Shatter Me, #1)",Tahereh Mafi," 3.85 avg rating — 959,337 ratings",/book/show/10429045-shatter-me,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310649047i/10429045._SY75_.jpg
"Ready Player One (Ready Player One, #1)",Ernest Cline," 4.23 avg rating — 1,197,657 ratings",/book/show/9969571-ready-player-one,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500930947i/9969571._SY75_.jpg
The Historian,Elizabeth Kostova," 3.80 avg rating — 268,068 ratings",/book/show/30236962-the-historian,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1717145561i/30236962._SY75_.jpg
James and the Giant Peach,Roald Dahl," 4.03 avg rating — 482,744 ratings",/book/show/6689.James_and_the_Giant_Peach,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320412586i/6689._SX50_.jpg
Flow Down Like Silver,Ki Longfellow," 4.01 avg rating — 4,504 ratings",/book/show/6801755-flow-down-like-silver,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348371147i/6801755._SY75_.jpg
Candide,Voltaire," 3.76 avg rating — 281,500 ratings",/book/show/19380.Candide,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345060082i/19380._SY75_.jpg
Paradise Lost,John Milton," 3.84 avg rating — 169,001 ratings",/book/show/15997.Paradise_Lost,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1526070678i/15997._SY75_.jpg
The Time Machine,H.G. Wells," 3.89 avg rating — 528,579 ratings",/book/show/2493.The_Time_Machine,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327942880i/2493._SY75_.jpg
"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore," 4.23 avg rating — 175,670 ratings",/book/show/28881.Lamb,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331419009i/28881._SY75_.jpg
The Complete Works,William Shakespeare," 4.48 avg rating — 57,128 ratings",/book/show/569564.The_Complete_Works,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327884293i/569564._SY75_.jpg
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan," 4.41 avg rating — 610,636 ratings",/book/show/9520360-the-son-of-neptune,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464201114i/9520360._SY75_.jpg
The Thirteenth Tale,Diane Setterfield," 3.98 avg rating — 316,429 ratings",/book/show/40440.The_Thirteenth_Tale,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346267826i/40440._SX50_.jpg
Heidi,Johanna Spyri," 4.03 avg rating — 202,266 ratings",/book/show/93.Heidi,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388462714i/93._SX50_.jpg
"The Wise Man’s Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss," 4.55 avg rating — 570,435 ratings",/book/show/1215032.The_Wise_Man_s_Fear,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452624392i/1215032._SY75_.jpg
