title,author,rating,details,num_reviews,num_ratings,publish_date,genres,description,image_url
Tuesdays with Morrie,Mitch Albom," 4.18 avg rating — 1,058,590 ratings",/book/show/6900.Tuesdays_with_Morrie,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423763749i/6900._SY75_.jpg
The Unbearable Lightness of Being,Milan Kundera," 4.11 avg rating — 485,558 ratings",/book/show/9717.The_Unbearable_Lightness_of_Being,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1265401884i/9717._SY75_.jpg
On the Road,Jack Kerouac," 3.61 avg rating — 418,282 ratings",/book/show/70401.On_the_Road,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1658929891i/70401._SY75_.jpg
The Name of the Rose,Umberto Eco," 4.14 avg rating — 370,750 ratings",/book/show/119073.The_Name_of_the_Rose,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415375471i/119073._SY75_.jpg
"The Godfather (The Godfather, #1)",Mario Puzo," 4.39 avg rating — 429,429 ratings",/book/show/22034.The_Godfather,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394988109i/22034._SY75_.jpg
Where the Red Fern Grows,Wilson Rawls," 4.12 avg rating — 414,067 ratings",/book/show/10365.Where_the_Red_Fern_Grows,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518702249i/10365._SY75_.jpg
"Holes (Holes, #1)",Louis Sachar," 4.00 avg rating — 1,234,370 ratings",/book/show/38709.Holes,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618269830i/38709._SX50_.jpg
In Cold Blood,Truman Capote," 4.09 avg rating — 674,024 ratings",/book/show/168642.In_Cold_Blood,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424931136i/168642._SY75_.jpg
Perfume: The Story of a Murderer,Patrick Süskind," 4.04 avg rating — 485,165 ratings",/book/show/343.Perfume,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409112276i/343._SY75_.jpg
The Scarlet Letter,Nathaniel Hawthorne," 3.43 avg rating — 875,849 ratings",/book/show/12296.The_Scarlet_Letter,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404810944i/12296._SY75_.jpg
Fight Club,Chuck Palahniuk," 4.19 avg rating — 603,088 ratings",/book/show/36236124-fight-club,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558216416i/36236124._SY75_.jpg
American Gods,Neil Gaiman," 4.11 avg rating — 949,554 ratings",/book/show/30165203-american-gods,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462924585i/30165203._SY75_.jpg
The Five People You Meet in Heaven,Mitch Albom," 3.99 avg rating — 735,041 ratings",/book/show/3431.The_Five_People_You_Meet_in_Heaven,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388200541i/3431._SX50_.jpg
The Divine Comedy,Dante Alighieri," 4.08 avg rating — 156,615 ratings",/book/show/6656.The_Divine_Comedy,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657540227i/6656._SY75_.jpg
Watchmen,Alan             Moore," 4.38 avg rating — 565,722 ratings",/book/show/472331.Watchmen,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442239711i/472331._SY75_.jpg
"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss," 4.19 avg rating — 550,200 ratings",/book/show/233093.The_Cat_in_the_Hat,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468890477i/233093._SX50_.jpg
"Six of Crows (Six of Crows, #1)",Leigh Bardugo," 4.48 avg rating — 994,599 ratings",/book/show/23437156-six-of-crows,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651710803i/23437156._SY75_.jpg
All Quiet on the Western Front,Erich Maria Remarque," 4.08 avg rating — 471,892 ratings",/book/show/355697.All_Quiet_on_the_Western_Front,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632027397i/355697._SY75_.jpg
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder," 4.35 avg rating — 154,113 ratings",/book/show/114345.The_Little_House_Collection,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577932823i/114345._SX50_.jpg
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick," 3.92 avg rating — 714,278 ratings",/book/show/6339664-hush-hush,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358261334i/6339664._SY75_.jpg
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett," 4.26 avg rating — 769,368 ratings",/book/show/12067.Good_Omens,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615552073i/12067._SY75_.jpg
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry," 4.54 avg rating — 199,376 ratings",/book/show/256008.Lonesome_Dove,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559668037i/256008._SY75_.jpg
A Story of Yesterday,Sergio Cobo," 4.57 avg rating — 13,306 ratings",/book/show/58913358-a-story-of-yesterday,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630609122i/58913358._SY75_.jpg
Peter Pan,J.M. Barrie," 4.06 avg rating — 1,458,401 ratings",/book/show/34268.Peter_Pan,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337714526i/34268._SX50_.jpg
The Addiction Manifesto,Jerry Weaver," 4.81 avg rating — 1,179 ratings",/book/show/58572970-the-addiction-manifesto,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1626523225i/58572970._SX50_.jpg
Love in the Time of Cholera,Gabriel García Márquez," 3.94 avg rating — 513,944 ratings",/book/show/9712.Love_in_the_Time_of_Cholera,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1644691354i/9712._SY75_.jpg
"Catching Fire (The Hunger Games, #2)",Suzanne Collins," 4.33 avg rating — 3,683,957 ratings",/book/show/6148028-catching-fire,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722941i/6148028._SY75_.jpg
"Insurgent (Divergent, #2)",Veronica Roth," 3.97 avg rating — 1,528,621 ratings",/book/show/11735983-insurgent,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618525340i/11735983._SY75_.jpg
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan," 4.37 avg rating — 1,095,925 ratings",/book/show/561456.The_Titan_s_Curse,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361038385i/561456._SY75_.jpg
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan," 4.42 avg rating — 1,117,940 ratings",/book/show/2120932.The_Battle_of_the_Labyrinth,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518607478i/2120932._SX50_.jpg
